"Sabella & La Torre, Mon-Thu, Sun 10 am - 10:30 pm  / Fri-Sat 10 am - 12:30 am",
"Santorini's Mediterranean Cuisine , Mon-Sun 8 am - 10:30 pm",
Kyoto Sushi,Mon-Thu 11 am - 10:30 pm  / Fri 11 am - 11 pm  / Sat 11:30 am - 11 pm  / Sun 4:30 pm - 10:30 pm
Marrakech Moroccan Restaurant,Mon-Sun 5:30 pm - 2 am
